Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes,NotesAdmin,
21730,A Closed-Form Solution for the Impedance Calculation of Grid Power Distribution Network,(PHY) Engineering - Electrical;,"College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,China,Wei Ying Ding;Xing Chang Wei;Da Yi;Yu Fei Shu,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2017.2666816,0,42803,10.1109/TEMC.2017.2666816,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/7875133 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21744,"A Compact, Broadband, Calculable Electromagnetic Field Source for Quality Assurance in EMC Testing",(PHY) Engineering - Electrical;,"ITT G. Ferraris, San Giovanni Valdarno, Italy; Department of Information Engineering, University of Florence, Firenze, Italy;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,Italy,Alessio Bonci;Enrico Boni;CArlo F M Carobbi,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2018.2803449,0,43158,10.1109/TEMC.2018.2803449,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/8303829 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21734,A Hybrid Method for the Coupling Analysis of Unequal Length MTLs With Arbitrary Heights Based on FDTD-TL Method,(PHY) Engineering - Electrical;,"Key Laboratory of Mobile Communications 3, Chongqing University of Posts and Telecommunications, Chongqing, China; Institute of Electromagnetics, Southwest Jiaotong University, Chengdu, China; Jinou Technology Development Company With Limited Liability, Chongqing, China;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,China,Zhihong Ye;Cheng Liao;Yang Wang;Chun Jin,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2018.2836349,0,43252,10.1109/TEMC.2018.2836349,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/8370721 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21728,A Measurement Method for Passive Intermodulation Chamber Performance Evaluation,(PHY) Engineering - Electrical;,"Hunan University, Changsha, China; General Test Systems, Shenzhen, China; Xidian University, Xi'an, China; UAq EMC Laboratory, University of L'Aquila, L'Aquila, Italy; China Mobile Design Institute, Beijing, China; Chinese University of Hong Kong, Shatin, Hong Kong; Google Inc., Mountain View, CA, USA; Xi'an Institute of Space Radio Technology, Xi'an, China;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,China;Hong Kong;Italy;United States,Zhanghua Cai;Yihong Qi;Zibin Weng;Jiyu Wu;Antonio Orlandi;Lie Liu;Feng Gao;Ming Yu;Zhiping Yang,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2018.2803734,0,43168,10.1109/TEMC.2018.2803734,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/8310918 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21723,A Method of Extracting the Effective Copper Surface Roughness of a PCB Laminate In Situ,(PHY) Engineering - Electrical;,"Siemon Company, Watertown, CT, USA; Electrical Engineering Department, Pennsylvania State University, Middletown, PA, USA;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,United States,Jason J Ellison;Sedig S Agili,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2018.2798290,0,43144,10.1109/TEMC.2018.2798290,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/8290946 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21738,A Novel Electromagnetic Bandgap Power Plane Etched With Multiring CSRRs for Suppressing Simultaneous Switching Noise,(PHY) Engineering - Electrical;,"College of Information Science and Electronic Engineering, Innovative Institute of Electromagnetic Information and Electronic Integration, Zhejiang University, Hangzhou, China; Center for Optics and Electromagnetics, State Key Laboratory of MOI, Zhejiang University, Hangzhou, China; Shanghai, China; Shanghai Key Laboratory, Electromagnetic Environmental Effects for Aerospace Vehicle, Shanghai, China; State Key Laboratory, Complex Electromagnetic Environment Effects on Electronics and Information System, Luoyang, China; Innovative Institute of Electromagnetic Information and Electronic Integration, College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,China,C Ning;J Jin;K Yang;H Xie;D W Wang;Y Liao;L D Wang;H S Chen;E P Li;Wen Yan Yin,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2017.2731783,0,43021,10.1109/TEMC.2017.2731783,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/8067630 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21736,A Planar Low-Profile Meander Antenna (PLMA) Design for Wireless Terminal Achieving Between Intrasystem EMC and Isolation in Multiantenna Systems,(PHY) Engineering - Electrical;,"Shenzhen Sunway Communication Co., Ltd., Shenzhen, China; DBJ Technologies, Zhuhai, China; EMC Laboratory, Missouri University of Science and Technology, Rolla, MO, USA; General Test Systems Inc., Shenzhen, China;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,China;United States,Ye Hai Bi;Yihong Qi;Jun Fan;Wei Yu,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2016.2634581,0,42716,10.1109/TEMC.2016.2634581,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/7781619 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21742,A Time-Domain Hybrid Method for Coupling Problems of Long Cables Excited by Electromagnetic Pulses,(PHY) Engineering - Electrical;,"Institute of Electromagnetics, Southwest Jiaotong University, Chengdu, China;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,China,Zhihong Ye;Xiangzheng Xiong;Min Zhang;Cheng Liao,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2016.2587904,0,42577,10.1109/TEMC.2016.2587904,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/7522650 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21725,An Efficient High-Speed Channel Modeling Method Based on Optimized Design-of-Experiment (DoE) for Artificial Neural Network Training,(PHY) Engineering - Electrical;,"Electromagnetic Compatibility Laboratory, Missouri University of Science and Technology, Rolla, MO, USA; Cisco Systems, San Jose, CA, USA;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,United States,Heegon Kim;Chunchun Sui;Kevin Cai;Bidyut Sen;Jun Fan,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2018.2796091,0,43147,10.1109/TEMC.2018.2796091,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/8293827 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
21724,Analysis of Multiconductor Transmission Lines Using the CN-FDTD Method,(PHY) Engineering - Electrical;,"Department of Electrical Engineering Department, Shahid Beheshti University, Tehran, Iran;",IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers,Iran,Babak Honarbakhsh;Shahrooz Asadi,http://retractionwatch.com/2019/12/04/publisher-retracts-nearly-50-papers-at-once/,Research Article;,43802,10.1109/TEMC.2016.2598067,0,42597,10.1109/TEMC.2016.2598067,0,Retraction,+Fake Peer Review;,No,0,"https://ieeexplore.ieee.org/document/7543481 Notes: Notice of Retraction: After careful consideration, this article has been retracted due to irregularities in the peer review process.",0
